step	a	b	c	confidence_a	confidence_b	confidence_c	R^2	MAE_all_next	MAE_last_5	last_actual	last_pred
300	5.239072220675914	-1.0	5.720495379343628	inf	inf	inf	0.9767320941756461	2.373442007086779	2.651191654743628	3.058030531	5.720495379343628
400	5.454576962109507	-1.0	5.504990642133675	inf	inf	inf	0.9578380520423024	2.1631311635357373	2.4356869175336753	3.058030531	5.504990642133675
500	5.632340425046332	-1.0	5.327227172643604	inf	inf	inf	0.9402574779703525	1.9897618796332592	2.2579234480436035	3.058030531	5.327227172643604
600	5.7825041013224405	-1.0	5.177063496906073	inf	inf	inf	0.9240352852527229	1.8433656081309868	2.1077597723060726	3.058030531	5.177063496906073
700	5.923984393422307	-1.0	5.035583206188453	inf	inf	inf	0.9057072406048314	1.704847135358592	1.9662794815884532	3.058030531	5.035583206188453
800	6.038354449999999	-1.0	4.92121315	inf	inf	inf	0.8918709608357716	1.5932292976062716	1.8519094254	3.058030531	4.92121315
900	6.136752018977914	-1.0	4.822815581889162	inf	inf	inf	0.8798943806465077	1.4973060343367144	1.753511857289162	3.058030531	4.822815581889162
1000	6.2236236230220054	-1.0	4.735943976773029	inf	inf	inf	0.8690531568057114	1.412640008099345	1.6666402521730295	3.058030531	4.735943976773029
1100	6.3016638236153195	-1.0	4.657903775211445	inf	inf	inf	0.8589900118141973	1.3365512072220087	1.5886000506114455	3.058030531	4.657903775211445
1200	6.369727352901174	-1.0	4.589840246306208	inf	inf	inf	0.8504266920517355	1.2703243880588582	1.5205365217062081	3.058030531	4.589840246306208
1300	6.433059874130473	-1.0	4.526507724666909	inf	inf	inf	0.8419657646311778	1.208576978517973	1.4572040000669093	3.058030531	4.526507724666909
1400	6.4886059484736505	-1.0	4.470961652629776	inf	inf	inf	0.8348319808302544	1.1545644721956125	1.401657928029776	3.058030531	4.470961652629776
1500	6.5347425222	-1.0	4.4248250778	inf	inf	inf	0.8296272006259944	1.1100797396928568	1.3555213531999997	3.058030531	4.4248250778
1600	6.579482374885129	-1.0	4.380085224569175	inf	inf	inf	0.8240104424592056	1.0667529405440854	1.3107814999691751	3.058030531	4.380085224569175
1700	6.617608861762542	-1.0	4.341958737928443	inf	inf	inf	0.8197043046182243	1.0301322188888744	1.2726550133284429	3.058030531	4.341958737928443
1800	6.653328093133237	-1.0	4.306239507469269	inf	inf	inf	0.8155045478421399	0.9958107720685468	1.236935782869269	3.058030531	4.306239507469269
1900	6.684751597888184	-1.0	4.274816002104531	inf	inf	inf	0.8120528249079474	0.9658320644451109	1.2055122775045313	3.058030531	4.274816002104531
2000	6.71308088525	-1.0	4.24648671475	inf	inf	inf	0.809042155894051	0.9389545818699997	1.1771829901499997	3.058030531	4.24648671475
2100	6.741358180904761	-1.0	4.218209419095238	inf	inf	inf	0.8056300604093899	0.9119368897667712	1.1489056944952385	3.058030531	4.218209419095238
2200	6.767797065636364	-1.0	4.191770534363636	inf	inf	inf	0.8024009305696728	0.8867078271072257	1.122466809763636	3.058030531	4.191770534363636
2300	6.793559287666885	-1.0	4.166008312726796	inf	inf	inf	0.7990242479891672	0.8620271375540021	1.0967045881267963	3.058030531	4.166008312726796
2400	6.816471721666668	-1.0	4.143095878333333	inf	inf	inf	0.7962409060848129	0.8402664696359159	1.073792153733333	3.058030531	4.143095878333333
2500	6.838624973039999	-1.0	4.12094262696	inf	inf	inf	0.7934068167846178	0.8191740893192591	1.05163890236	3.058030531	4.12094262696
2600	6.859573611985455	-1.0	4.099993987897621	inf	inf	inf	0.790693846106487	0.7992459315593311	1.0306902632976211	3.058030531	4.099993987897621
2700	6.877667349280071	-1.0	4.0819002505515005	inf	inf	inf	0.7886445448922288	0.7823115786335901	1.0125965259515006	3.058030531	4.0819002505515005
2800	6.895463779730355	-1.0	4.064103819806701	inf	inf	inf	0.7864774368858428	0.7655788614508957	0.9948000952067009	3.058030531	4.064103819806701
2900	6.913723533059834	-1.0	4.045844067236623	inf	inf	inf	0.7839458611660535	0.7482064999809841	0.976540342636623	3.058030531	4.045844067236623
3000	6.929403697966668	-1.0	4.030163902033333	inf	inf	inf	0.7820742987628031	0.7335746425012578	0.9608601774333334	3.058030531	4.030163902033333
3100	6.944413784882918	-1.0	4.015153815126959	inf	inf	inf	0.780247904574567	0.7195806993466557	0.9458500905269585	3.058030531	4.015153815126959
3200	6.959041235537504	-1.0	4.000526364724467	inf	inf	inf	0.7783875706185928	0.7059095313898666	0.9312226401244672	3.058030531	4.000526364724467
3300	6.973456077628995	-1.0	3.9861115221655132	inf	inf	inf	0.7764458648499712	0.6923733900815439	0.9168077975655132	3.058030531	3.9861115221655132
3400	6.986602514187247	-1.0	3.9729650859102694	inf	inf	inf	0.7747862186930868	0.6801671628604611	0.9036613613102695	3.058030531	3.9729650859102694
3500	6.999413501001467	-1.0	3.9601540992750324	inf	inf	inf	0.773108514712565	0.6682476478788785	0.8908503746750324	3.058030531	3.9601540992750324
3600	7.011191511888889	-1.0	3.948376088111111	inf	inf	inf	0.7716507185961774	0.6574126453891032	0.8790723635111111	3.058030531	3.948376088111111
3700	7.022466408765254	-1.0	3.937101191192658	inf	inf	inf	0.7702471555981475	0.6470689169174642	0.8677974665926579	3.058030531	3.937101191192658
3800	7.033659541205603	-1.0	3.925908058588548	inf	inf	inf	0.7687669186805164	0.6367385464873807	0.8566043339885479	3.058030531	3.925908058588548
3900	7.044829774518547	-1.0	3.914737825359784	inf	inf	inf	0.7671914529028385	0.6263538579847843	0.8454341007597842	3.058030531	3.914737825359784
4000	7.0545610472167395	-1.0	3.9050065528382096	inf	inf	inf	0.766006192485416	0.6175524009833075	0.8357028282382096	3.058030531	3.9050065528382096
4100	7.064064782697285	-1.0	3.8955028172801116	inf	inf	inf	0.764812121224421	0.6089459065360171	0.8261990926801115	3.058030531	3.8955028172801116
4200	7.072998022761906	-1.0	3.8865695772380953	inf	inf	inf	0.7637244349287428	0.600936578846791	0.8172658526380954	3.058030531	3.8865695772380953
4300	7.081732477488372	-1.0	3.877835122511628	inf	inf	inf	0.7626284992806193	0.5930963900949614	0.8085313979116281	3.058030531	3.877835122511628
4400	7.089548500227274	-1.0	3.870019099772727	inf	inf	inf	0.7617538756629451	0.5862731617368704	0.800715375172727	3.058030531	3.870019099772727
4500	7.098546805777776	-1.0	3.861020794222222	inf	inf	inf	0.7604182157978121	0.5780002538342222	0.7917170696222221	3.058030531	3.861020794222222
4600	7.105399798010373	-1.0	3.854167801951149	inf	inf	inf	0.7597184194527092	0.5722025330836791	0.7848640773511489	3.058030531	3.854167801951149
4700	7.1122930000212765	-1.0	3.8472745999787232	inf	inf	inf	0.7589582421473712	0.5663102264384007	0.7779708753787232	3.058030531	3.8472745999787232
4800	7.118648762270832	-1.0	3.8409188377291668	inf	inf	inf	0.7583071113685389	0.5610120902554825	0.7716151131291668	3.058030531	3.8409188377291668
4900	7.125736532510204	-1.0	3.833831067489796	inf	inf	inf	0.7573834361639934	0.5547930653353242	0.764527342889796	3.058030531	3.833831067489796
5000	7.131850416549365	-1.0	3.827717183506946	inf	inf	inf	0.7567188279817015	0.54969591141715	0.7584134589069459	3.058030531	3.827717183506946
5100	7.138394384489866	-1.0	3.8211732154535536	inf	inf	inf	0.7558766004908067	0.5440369988592912	0.7518694908535536	3.058030531	3.8211732154535536
